Block,Temperature,Day,Cup,Sporozoite Prevalence
0,21,10,1,0
0,21,10,1,0
0,21,10,1,0
0,21,10,1,0
0,21,10,1,0
0,21,10,1,0
0,21,10,1,0
0,21,10,1,0
0,21,10,2,0
0,21,10,2,0
0,21,10,2,0
0,21,10,2,0
0,21,10,2,0
0,21,10,2,0
0,21,10,2,0
0,21,10,3,0
0,21,10,3,0
0,21,10,3,0
0,21,10,3,0
0,21,10,3,0
0,21,10,3,0
0,21,10,3,0
0,21,10,3,0
0,21,10,4,0
0,21,10,4,0
0,21,10,4,0
0,21,10,4,0
0,21,10,4,0
0,21,10,4,0
0,21,10,4,0
0,21,10,4,0
1,21,10,1,0
1,21,10,1,0
1,21,10,1,0
1,21,10,1,0
1,21,10,1,0
1,21,10,1,0
1,21,10,1,0
1,21,10,2,0
1,21,10,2,0
1,21,10,2,0
1,21,10,2,0
1,21,10,2,0
1,21,10,2,0
1,21,10,2,0
1,21,10,2,0
1,21,10,3,0
1,21,10,3,0
1,21,10,3,0
1,21,10,3,0
1,21,10,3,0
1,21,10,3,0
1,21,10,3,0
1,21,10,3,0
1,21,10,4,0
1,21,10,4,0
1,21,10,4,0
1,21,10,4,0
1,21,10,4,0
1,21,10,4,0
1,21,10,4,0
1,21,10,4,0
0,21,11,1,0
0,21,11,1,0
0,21,11,1,0
0,21,11,1,0
0,21,11,1,0
0,21,11,1,0
0,21,11,1,0
0,21,11,1,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,2,0
0,21,11,3,0
0,21,11,3,0
0,21,11,3,0
0,21,11,3,0
0,21,11,3,0
0,21,11,3,0
0,21,11,3,0
0,21,11,3,0
0,21,11,4,0
0,21,11,4,0
0,21,11,4,0
0,21,11,4,0
0,21,11,4,0
0,21,11,4,0
0,21,11,4,0
0,21,11,4,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,1,0
1,21,11,2,0
1,21,11,2,0
1,21,11,2,0
1,21,11,2,0
1,21,11,2,0
1,21,11,2,0
1,21,11,2,0
1,21,11,2,0
1,21,11,3,0
1,21,11,3,0
1,21,11,3,0
1,21,11,3,0
1,21,11,3,0
1,21,11,3,0
1,21,11,3,0
1,21,11,3,0
1,21,11,4,0
1,21,11,4,0
1,21,11,4,0
1,21,11,4,0
1,21,11,4,0
1,21,11,4,0
1,21,11,4,0
1,21,11,4,0
0,21,12,1,0
0,21,12,1,0
0,21,12,1,0
0,21,12,1,0
0,21,12,1,0
0,21,12,1,0
0,21,12,1,1
0,21,12,1,0
0,21,12,2,0
0,21,12,2,0
0,21,12,2,0
0,21,12,2,1
0,21,12,2,0
0,21,12,2,0
0,21,12,2,0
0,21,12,2,0
0,21,12,2,1
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,3,0
0,21,12,4,0
0,21,12,4,0
0,21,12,4,0
0,21,12,4,1
0,21,12,4,0
0,21,12,4,0
0,21,12,4,0
0,21,12,4,0
1,21,12,1,0
1,21,12,1,0
1,21,12,1,0
1,21,12,1,0
1,21,12,1,1
1,21,12,1,0
1,21,12,1,0
1,21,12,1,0
1,21,12,1,0
1,21,12,2,0
1,21,12,2,0
1,21,12,2,0
1,21,12,2,0
1,21,12,2,0
1,21,12,2,0
1,21,12,2,0
1,21,12,2,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,3,0
1,21,12,4,0
1,21,12,4,0
1,21,12,4,0
1,21,12,4,0
1,21,12,4,0
1,21,12,4,0
1,21,12,4,0
1,21,12,4,0
0,21,13,1,0
0,21,13,1,0
0,21,13,1,0
0,21,13,1,0
0,21,13,1,0
0,21,13,1,0
0,21,13,1,0
0,21,13,1,0
0,21,13,2,0
0,21,13,2,0
0,21,13,2,0
0,21,13,2,0
0,21,13,2,0
0,21,13,2,0
0,21,13,2,0
0,21,13,2,0
0,21,13,3,0
0,21,13,3,0
0,21,13,3,0
0,21,13,3,0
0,21,13,3,1
0,21,13,3,0
0,21,13,3,0
0,21,13,3,0
0,21,13,4,0
0,21,13,4,0
0,21,13,4,0
0,21,13,4,0
0,21,13,4,0
0,21,13,4,0
0,21,13,4,0
0,21,13,4,0
1,21,13,1,0
1,21,13,1,0
1,21,13,1,0
1,21,13,1,1
1,21,13,1,0
1,21,13,1,1
1,21,13,1,0
1,21,13,1,0
1,21,13,2,0
1,21,13,2,0
1,21,13,2,0
1,21,13,2,1
1,21,13,2,0
1,21,13,2,1
1,21,13,2,0
1,21,13,2,0
1,21,13,3,0
1,21,13,3,1
1,21,13,3,0
1,21,13,3,0
1,21,13,3,1
1,21,13,3,0
1,21,13,3,1
1,21,13,3,0
1,21,13,4,0
1,21,13,4,0
1,21,13,4,0
1,21,13,4,1
1,21,13,4,0
1,21,13,4,1
1,21,13,4,0
1,21,13,4,0
1,21,13,4,0
0,21,14,1,0
0,21,14,1,0
0,21,14,1,1
0,21,14,1,0
0,21,14,1,0
0,21,14,1,0
0,21,14,1,0
0,21,14,1,1
0,21,14,2,0
0,21,14,2,0
0,21,14,2,0
0,21,14,2,0
0,21,14,2,0
0,21,14,2,1
0,21,14,2,1
0,21,14,2,0
0,21,14,3,0
0,21,14,3,0
0,21,14,3,0
0,21,14,3,1
0,21,14,3,0
0,21,14,3,0
0,21,14,3,1
0,21,14,4,0
0,21,14,4,0
0,21,14,4,1
0,21,14,4,0
0,21,14,4,1
0,21,14,4,0
0,21,14,4,1
0,21,14,4,0
1,21,14,1,0
1,21,14,1,0
1,21,14,1,0
1,21,14,1,0
1,21,14,1,0
1,21,14,1,0
1,21,14,1,0
1,21,14,1,0
1,21,14,2,0
1,21,14,2,0
1,21,14,2,0
1,21,14,2,1
1,21,14,2,1
1,21,14,2,0
1,21,14,2,0
1,21,14,2,0
1,21,14,3,0
1,21,14,3,0
1,21,14,3,1
1,21,14,3,0
1,21,14,3,0
1,21,14,3,0
1,21,14,3,0
1,21,14,3,0
1,21,14,4,0
1,21,14,4,0
1,21,14,4,1
1,21,14,4,1
1,21,14,4,0
1,21,14,4,0
1,21,14,4,0
1,21,14,4,0
0,21,15,1,0
0,21,15,1,0
0,21,15,1,0
0,21,15,1,0
0,21,15,1,0
0,21,15,1,0
0,21,15,1,1
0,21,15,1,0
0,21,15,1,1
0,21,15,2,1
0,21,15,2,0
0,21,15,2,0
0,21,15,2,0
0,21,15,2,0
0,21,15,2,0
0,21,15,2,1
0,21,15,2,0
0,21,15,2,0
0,21,15,3,0
0,21,15,3,1
0,21,15,3,0
0,21,15,3,0
0,21,15,3,0
0,21,15,3,0
0,21,15,3,1
0,21,15,3,0
0,21,15,4,0
0,21,15,4,0
0,21,15,4,1
0,21,15,4,0
0,21,15,4,0
0,21,15,4,0
0,21,15,4,0
1,21,15,1,0
1,21,15,1,0
1,21,15,1,0
1,21,15,1,1
1,21,15,1,0
1,21,15,1,0
1,21,15,1,1
1,21,15,1,0
1,21,15,2,0
1,21,15,2,1
1,21,15,2,1
1,21,15,2,0
1,21,15,2,0
1,21,15,2,1
1,21,15,2,0
1,21,15,2,0
1,21,15,3,0
1,21,15,3,1
1,21,15,3,0
1,21,15,3,0
1,21,15,3,0
1,21,15,3,0
1,21,15,3,0
1,21,15,3,0
1,21,15,4,0
1,21,15,4,0
1,21,15,4,0
1,21,15,4,0
1,21,15,4,0
1,21,15,4,1
1,21,15,4,0
1,21,15,4,1
0,21,16,1,0
0,21,16,1,0
0,21,16,1,1
0,21,16,1,0
0,21,16,1,0
0,21,16,1,0
0,21,16,1,1
0,21,16,1,1
0,21,16,2,0
0,21,16,2,0
0,21,16,2,0
0,21,16,2,0
0,21,16,2,1
0,21,16,2,1
0,21,16,2,0
0,21,16,2,1
0,21,16,3,0
0,21,16,3,1
0,21,16,3,0
0,21,16,3,1
0,21,16,3,0
0,21,16,3,0
0,21,16,3,1
0,21,16,3,0
0,21,16,4,1
0,21,16,4,0
0,21,16,4,1
0,21,16,4,0
0,21,16,4,1
0,21,16,4,0
0,21,16,4,0
0,21,16,4,0
1,21,16,1,0
1,21,16,1,1
1,21,16,1,0
1,21,16,1,0
1,21,16,1,1
1,21,16,1,1
1,21,16,1,0
1,21,16,1,0
1,21,16,2,0
1,21,16,2,1
1,21,16,2,1
1,21,16,2,0
1,21,16,2,0
1,21,16,2,1
1,21,16,2,0
1,21,16,2,0
1,21,16,2,0
1,21,16,3,0
1,21,16,3,1
1,21,16,3,1
1,21,16,3,1
1,21,16,3,0
1,21,16,3,0
1,21,16,3,1
1,21,16,3,0
1,21,16,4,0
1,21,16,4,1
1,21,16,4,0
1,21,16,4,0
1,21,16,4,1
1,21,16,4,1
1,21,16,4,0
1,21,16,4,0
0,21,17,1,0
0,21,17,1,1
0,21,17,1,0
0,21,17,1,1
0,21,17,1,0
0,21,17,1,1
0,21,17,1,1
0,21,17,1,0
0,21,17,1,0
0,21,17,2,0
0,21,17,2,1
0,21,17,2,1
0,21,17,2,0
0,21,17,2,0
0,21,17,2,1
0,21,17,2,0
0,21,17,2,1
0,21,17,2,0
0,21,17,3,0
0,21,17,3,1
0,21,17,3,0
0,21,17,3,1
0,21,17,3,0
0,21,17,3,1
0,21,17,3,0
0,21,17,3,0
0,21,17,4,0
0,21,17,4,1
0,21,17,4,0
0,21,17,4,0
0,21,17,4,0
0,21,17,4,1
0,21,17,4,0
0,21,17,4,0
1,21,18,1,0
1,21,18,1,0
1,21,18,1,1
1,21,18,1,0
1,21,18,1,0
1,21,18,1,1
1,21,18,1,1
1,21,18,1,0
1,21,18,2,0
1,21,18,2,1
1,21,18,2,0
1,21,18,2,0
1,21,18,2,0
1,21,18,2,0
1,21,18,2,1
1,21,18,2,1
1,21,18,2,0
1,21,18,3,0
1,21,18,3,0
1,21,18,3,0
1,21,18,3,1
1,21,18,3,0
1,21,18,3,1
1,21,18,3,1
1,21,18,3,0
1,21,18,4,0
1,21,18,4,1
1,21,18,4,0
1,21,18,4,1
1,21,18,4,0
1,21,18,4,1
1,21,18,4,0
1,21,18,4,0
0,21,19,1,0
0,21,19,1,1
0,21,19,1,0
0,21,19,1,0
0,21,19,1,0
0,21,19,1,1
0,21,19,1,1
0,21,19,1,1
0,21,19,2,0
0,21,19,2,0
0,21,19,2,1
0,21,19,2,0
0,21,19,2,0
0,21,19,2,1
0,21,19,2,0
0,21,19,2,1
0,21,19,3,0
0,21,19,3,0
0,21,19,3,1
0,21,19,3,0
0,21,19,3,0
0,21,19,3,0
0,21,19,3,1
0,21,19,3,0
0,21,19,3,0
0,21,19,4,0
0,21,19,4,1
0,21,19,4,1
0,21,19,4,0
0,21,19,4,0
0,21,19,4,0
0,21,19,4,1
0,21,19,4,0
1,21,20,1,1
1,21,20,1,1
1,21,20,1,0
1,21,20,1,1
1,21,20,1,0
1,21,20,1,0
1,21,20,1,0
1,21,20,1,1
1,21,20,1,1
1,21,20,2,0
1,21,20,2,1
1,21,20,2,1
1,21,20,2,0
1,21,20,2,0
1,21,20,2,1
1,21,20,2,1
1,21,20,2,0
1,21,20,3,1
1,21,20,3,0
1,21,20,3,1
1,21,20,3,1
1,21,20,3,1
1,21,20,3,0
1,21,20,3,0
1,21,20,4,0
1,21,20,4,1
1,21,20,4,0
1,21,20,4,1
1,21,20,4,0
1,21,20,4,0
1,21,20,4,0
1,21,20,4,1
0,21,21,1,0
0,21,21,1,1
0,21,21,1,0
0,21,21,1,1
0,21,21,1,1
0,21,21,1,0
0,21,21,1,0
0,21,21,1,1
0,21,21,2,0
0,21,21,2,0
0,21,21,2,1
0,21,21,2,0
0,21,21,2,1
0,21,21,2,0
0,21,21,2,0
0,21,21,2,0
0,21,21,3,0
0,21,21,3,0
0,21,21,3,1
0,21,21,3,0
0,21,21,3,0
0,21,21,3,1
0,21,21,3,1
0,21,21,3,0
0,21,21,4,0
0,21,21,4,1
0,21,21,4,0
0,21,21,4,1
0,21,21,4,0
0,21,21,4,1
0,21,21,4,0
0,21,21,4,1
1,21,22,1,1
1,21,22,1,1
1,21,22,1,1
1,21,22,1,1
1,21,22,1,1
1,21,22,1,1
1,21,22,1,0
1,21,22,1,1
1,21,22,2,1
1,21,22,2,0
1,21,22,2,0
1,21,22,2,0
1,21,22,2,0
1,21,22,2,1
1,21,22,2,1
1,21,22,2,0
1,21,22,3,1
1,21,22,3,0
1,21,22,3,1
1,21,22,3,1
1,21,22,3,1
1,21,22,3,1
1,21,22,3,0
1,21,22,3,0
1,21,22,4,0
1,21,22,4,0
1,21,22,4,1
1,21,22,4,1
1,21,22,4,0
1,21,22,4,1
1,21,22,4,1
1,21,22,4,0
0,21,23,1,0
0,21,23,1,1
0,21,23,1,0
0,21,23,1,0
0,21,23,1,1
0,21,23,1,0
0,21,23,1,0
0,21,23,1,1
0,21,23,1,1
0,21,23,2,1
0,21,23,2,1
0,21,23,2,0
0,21,23,2,0
0,21,23,2,0
0,21,23,2,0
0,21,23,2,1
0,21,23,2,0
0,21,23,3,0
0,21,23,3,1
0,21,23,3,0
0,21,23,3,0
0,21,23,3,1
0,21,23,3,0
0,21,23,3,0
0,21,23,3,1
0,21,23,4,0
0,21,23,4,1
0,21,23,4,0
0,21,23,4,1
0,21,23,4,0
0,21,23,4,0
0,21,23,4,0
0,21,23,4,0
0,21,25,1,0
0,21,25,1,1
0,21,25,1,1
0,21,25,1,0
0,21,25,1,0
0,21,25,1,1
0,21,25,1,0
0,21,25,1,1
0,21,25,3,0
0,21,25,3,1
0,21,25,3,0
0,21,25,3,0
0,21,25,3,1
0,21,25,3,0
0,21,25,3,0
0,21,25,3,1
1,21,25,1,0
1,21,25,1,1
1,21,25,1,1
1,21,25,1,0
1,21,25,1,1
1,21,25,1,1
1,21,25,1,1
1,21,25,2,1
1,21,25,2,1
1,21,25,2,1
1,21,25,2,0
1,21,25,2,0
1,21,25,2,1
1,21,25,2,1
1,21,25,2,0
1,21,25,2,0
1,21,25,3,0
1,21,25,3,1
1,21,25,3,0
1,21,25,3,1
1,21,25,3,0
1,21,25,3,1
1,21,25,3,1
1,21,25,4,0
1,21,25,4,1
1,21,25,4,1
1,21,25,4,0
1,21,25,4,1
1,21,25,4,1
1,21,25,4,1
1,21,25,4,1
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,1,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,2,0
1,24,9,3,0
1,24,9,3,0
1,24,9,3,0
1,24,9,3,0
1,24,9,3,0
1,24,9,3,0
1,24,9,3,0
1,24,9,3,0
1,24,9,4,0
1,24,9,4,0
1,24,9,4,0
1,24,9,4,0
1,24,9,4,0
1,24,9,4,0
1,24,9,4,0
1,24,9,4,0
0,24,10,1,0
0,24,10,1,0
0,24,10,1,0
0,24,10,1,0
0,24,10,1,0
0,24,10,1,0
0,24,10,1,0
0,24,10,1,0
0,24,10,2,0
0,24,10,2,0
0,24,10,2,0
0,24,10,2,0
0,24,10,2,0
0,24,10,2,0
0,24,10,2,0
0,24,10,2,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,3,0
0,24,10,4,0
0,24,10,4,0
0,24,10,4,0
0,24,10,4,0
0,24,10,4,0
0,24,10,4,0
0,24,10,4,0
0,24,10,4,0
1,24,10,1,0
1,24,10,1,0
1,24,10,1,0
1,24,10,1,0
1,24,10,1,0
1,24,10,1,0
1,24,10,1,0
1,24,10,1,0
1,24,10,2,0
1,24,10,2,0
1,24,10,2,0
1,24,10,2,0
1,24,10,2,0
1,24,10,2,1
1,24,10,2,0
1,24,10,2,0
1,24,10,3,0
1,24,10,3,0
1,24,10,3,0
1,24,10,3,0
1,24,10,3,0
1,24,10,3,0
1,24,10,3,0
1,24,10,3,0
1,24,10,4,1
1,24,10,4,0
1,24,10,4,0
1,24,10,4,0
1,24,10,4,0
1,24,10,4,0
1,24,10,4,0
1,24,10,4,0
1,24,10,4,0
0,24,11,1,0
0,24,11,1,0
0,24,11,1,0
0,24,11,1,0
0,24,11,1,1
0,24,11,1,0
0,24,11,1,0
0,24,11,1,0
0,24,11,1,0
0,24,11,2,0
0,24,11,2,0
0,24,11,2,0
0,24,11,2,0
0,24,11,2,0
0,24,11,2,0
